company_name,organization_type,location,region,sector,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_classification,long_term_target_year, net_zero_status,net_zero_year,full_target_language,ba15_status,ba15_date ,target_classification_long,reason_for_extension_or_removal,date_updated,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,SEDOL,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
Boston Scientific Corp,Corporate,United States of America,Northern America,Healthcare Equipment and Supplies,Targets set,1.5C,2030,Targets set,1.5C,2050,Targets set,2050,"Overall Net-Zero Target Boston Scientific Corporation commits to reach net-zero greenhouse gas emissions across the value chain by 2050 from a 2019 base year. Near-Term Targets Multinational U. S. healthcare and equipment supplies company Boston Scientific Corporation commits to reduce absolute Scope 1 & 2 GHG emissions 46.2% by 2030 from a 2019 base year. Boston Scientific Corporation also commits to reduce Scope 3 GHG emissions from Purchased Goods & Services, Capital Goods, Fuel & Energy-Related Activities, Upstream transportation & Distribution, and Business travel GHG emissions 55% per USD value added within the same timeframe. Long-Term Targets Boston Scientific Corporation commits to reduce scope 1 and 2 GHG emissions 97% per USD value added, equivalent to 90% absolute reduction, by 2050 from a 2019 base year. Boston Scientific Corporation also commits to reduce scope 3 GHG emissions 97% per USD value added within the same timeframe.",BA1.5 member,9/23/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,11/10/22 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Scientific Corp,,,,,,,,,,,,,,,,,,,United States of America,USA,Health Care,No,large,2113434,3/5/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
Bristol Myers Squibb,Corporate,United States of America,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5C,2033,Targets set,1.5C,2050,Targets set,2050,"Overall Net-Zero Target: Bristol Myers Squibb commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-Term Targets: Bristol Myers Squibb (BMS) commits to reduce absolute scope 1 and 2 GHG emissions 54.6% by 2033 from a 2022 base year.* BMS also commits to reduce absolute scope 3 GHG emissions from fuel and energy related activities 54.6% within the same timeframe.* BMS further commits that 75% of its suppliers by emissions covering purchased goods and services, capital goods, and upstream transportation and distribution will have science-based targets by 2028.
*The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks.
 Long-Term Targets: BMS commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2022 base year.* BMS also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.*
*The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks.
",BA1.5 member,5/19/22 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,7/18/24 1:00,United States of America,USA,Health Care,No,large,2126335,4/5/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Broadridge Financial Solutions,Corporate,United States of America,Northern America,Software and Services,Targets set,1.5C,FY2033,Targets set,1.5C,FY2050,Targets set,FY2050,"Overall Net-Zero Target: Broadridge Financial Solutions, Inc. commits to reach net-zero greenhouse gas emissions across the value chain by FY2050. Near-Term Targets: Broadridge Financial Solutions, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 54.6% by FY2033 from a FY2023 base year. Broadridge Financial Solutions, Inc. commits that 78.6% of its suppliers by emissions covering purchased goods and services and upstream transportation and distribution, will have science-based targets by FY2028. Long-Term Targets: Broadridge Financial Solutions, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90.0% by FY2050 from a FY2023 base year. Broadridge Financial Solutions, Inc. also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel-and energy-related activities, upstream transportation and distribution, waste generated in operations, business travel and, employee commuting 90.0% within the same timeframe.",BA1.5 member,5/26/22 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,1/9/25 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadridge Financial Solutions,,,,,,,,,,,,,,,,,,,United States of America,USA,Financials,No,medium,B1VP7R6,3/5/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Cadence Design Systems,Corporate,United States of America,Northern America,Software and Services,Targets set,1.5C,2030,Targets set,1.5C,2040,Targets set,2040,"Overall Net-Zero Target: Cadence Design Systems, Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2040. Near-Term Targets: Cadence Design Systems, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 89.78% by 2030 from a 2019 base year. Cadence Design Systems, Inc. also commits to reduce absolute scope 3 GHG emissions 46.2% within the same timeframe. Long-Term Targets: Cadence Design Systems, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2040 from a 2019 base year. Cadence Design Systems, Inc. also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.
",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,8/15/24 1:00,United States of America,USA,Technology,No,large,2302232,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
Caesars Entertainment,Corporate,United States of America,Northern America,"Hotels, Restaurants and Leisure, and Tourism Services",Targets set,Well-below 2°C,2025,,,,,,American gaming corporation Caesars Entertainment commits to reduce absolute scope 1 and 2 GHG emissions 35% by 2025 and 100% by 2050 from a 2011 base year. Caesars also commits to have 60% of suppliers by spend institute science‐based GHG reduction targets for their operations by 2023.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,10/15/19 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesars Entertainment,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,BMWWGB0,3/15/23,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Campbell Soup,Corporate,United States of America,Northern America,Food and Beverage Processing,Targets set,1.5C,FY2030,,,,,,Campbell Soup Company commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from a FY2020 base year. Campbell Soup Company also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and upstream transportation and distribution 25% within the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,3/24/22 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campbell Soup,,,,,,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,medium,2162845,3/5/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Campbell Soup,,,,,,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,medium,2162845,5/5/23,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
Cardinal Health,Corporate,United States of America,Northern America,"Healthcare Providers and Services, and Healthcare Technology",Targets set,1.5C,FY2030,,,,,,"Cardinal Health commits to reduce absolute scope 1 and 2 GHG emissions 50% by FY2030 from a FY2019 base year.* Cardinal Health also commits that 75% of its suppliers by spend, covering purchased goods and services and upstream transportation and distribution, will have science-based targets by FY2028.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.",BA1.5 member,12/8/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,3/14/24 1:00,United States of America,USA,Health Care,No,medium,2175672,1/5/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Carrier Global,Corporate,United States of America,Northern America,Building Products,Targets set,1.5C,2030,Targets set,1.5C,2050,Targets set,2050,"Overall Net-Zero Target: Carrier Global Corporation commits to reach net-zero greenhousegas emissions across the value chain by 2050.
Near-Term Targets: Carrier Global Corporation commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2021 base year. Carrier Global Corporation also commits to reduce absolute scope 3 GHG emissions 25% within the same timeframe.
Long-Term Targets: Carrier Global Corporation commits to reduce absolute scope 1, 2, and 3 GHG emissions 90% by 2050 from a 2021 base year.",BA1.5 member,2/9/23 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,6/13/24 1:00,United States of America,USA,Industrials,No,medium,BK4N0D7,4/30/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Catalent,Corporate,United States of America,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5C,FY2030,,,,,,"Catalent commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from an FY2022 base year. Catalent also commits to reduce absolute scope 3 GHG emissions from fuel- and energy-related activites, and employee commuting 25% within the same timeframe. Catalent further commits that 70% of its suppliers by emissions, covering purchased goods and services, capital goods, and upstream transportation and distribution, will have science-based targets by FY2028.",BA1.5 member,7/22/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,1/25/24 1:00,United States of America,USA,Health Care,No,medium,BP96PQ4,4/26/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Cencora,Corporate,United States of America,Northern America,"Healthcare Providers and Services, and Healthcare Technology",Targets set,1.5C,FY2032,,,,,,"AmerisourceBergen commits to reduce absolute scope 1 and 2 GHG emissions 54.6% by FY2032 from a FY2019 base year. AmerisourceBergen also commits that 82% of its suppliers by spend, covering purchased goods and services, will have science-based targets by FY2027.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,1/26/23 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cencora,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,2795393,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No,No,No
Charles River Laboratories,Corporate,United States of America,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5C,2030,,,,,,"Charles River Laboratories, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year. Charles River Laboratories, Inc. commits to increase annual sourcing of renewable electricity from 1% in 2018 to 100% by 2030. Charles River Laboratories, Inc. further commits to reduce absolute scope 3 GHG emissions 15% by 2030 from a 2019 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.",BA1.5 member,2/4/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,2/4/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles River Laboratories,,,,,,,,,,,,,,,,,,,United States of America,USA,Health Care,No,medium,2604336,4/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
Chemours Company,Corporate,United States of America,Northern America,Chemicals,Targets set,1.5C,2030,,,,,,Chemours commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2030 from a 2018 base year. Chemours commits to reduce scope 3 GHG emissions 25% per ton of product produced by 2030 from a 2018 base year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,6/13/24 1:00,United States of America,USA,Chemicals,No,small,BZ0CTP8,3/5/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Chipotle Mexican Grill,Corporate,United States of America,Northern America,"Hotels, Restaurants and Leisure, and Tourism Services",Targets set,1.5C,2030,,,,,,Chipotle Mexican Grill commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year. Chipotle Mexican Grill also commits to reduce absolute scope 3 GHG emissions 50% within the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,11/4/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipotle Mexican Grill,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,B0X7DZ3,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Church & Dwight,Corporate,United States of America,Northern America,"Consumer Durables, Household and Personal Products",Targets set,1.5C,2031,,,,,,"Church & Dwight commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by 2031 from a 2020 base year. Church & Dwight commits to continue annually sourcing 100% renewable electricity through 2030. Church & Dwight commits that 75% of its suppliers by emissions covering purchased goods and services, capital goods, and upstream transportation and distribution will have science-based targets by 2026.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,8/4/22 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church & Dwight,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,No,medium,2195841,4/5/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes
Clearwater Paper,Corporate,United States of America,Northern America,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Targets set,Well-below 2°C,2030,,,,,,Clearwater Paper Corporation commits to reduce absolute scope 1 and 2 GHG emissions 29.1% by 2030 from a 2021 base year. Clearwater Paper Corporation also commits to reduce absolute scope 3 GHG emissions 25% within the same timeframe. *The target boundary includes land-related emissions and removals from bioenergy feedstocks.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,5/4/23 1:00,United States of America,USA,Paper,No,unlisted,B3K9Z35,4/7/23,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Comcast,Corporate,United States of America,Northern America,Telecommunication Services,Committed,,,,,,,,,,,,,1/5/23 1:00,United States of America,USA,Consumer Services,No,large,2044545,4/17/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No
ConAgra Brands,Corporate,United States of America,Northern America,Food and Beverage Processing,Targets set,Well-below 2°C,FY2030,,,,,,Conagra Brands commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2030 from a FY2020 base year. Conagra Brands commits to reduce scope 3 GHG emissions from purchased goods and services 20% per metric tonne of material sourced within the same timeframe. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,3/4/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConAgra Brands,,,,,,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,medium,2215460,4/5/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
ConAgra Brands,,,,,,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,medium,2215460,5/5/23,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Crown Holdings,Corporate,United States of America,Northern America,Containers and Packaging,Targets set,1.5C,2030,,,,,,"Crown Holdings, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year. Crown Holdings, Inc. also commits to reduce absolute scope 3 GHG emissions 16% over the same target period.",BA1.5 member,7/1/20 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,7/23/20 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown Holdings,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,2427986,3/5/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Crown Holdings,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,2427986,4/24/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
CSX Corporation,Corporate,United States of America,Northern America,Ground Transportation - Railroads Transportation,Targets set,Well-below 2°C,2029,,,,,,CSX commits to reduce scope 1 and 2 GHG emissions intensity 37% per million gross ton miles by 2029 from a 2014 base year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,5/14/20 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orix Corporation,,,,,,,,,,,,,,,,,,,Japan,JPN,Financials,No,large,6661144,4/18/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Cummins,Corporate,United States of America,Northern America,Electrical Equipment and Machinery,Targets set,1.5C,2030,,,,,,Power generation design and manufacturers Cummins Inc Cummins Inc commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year. Cummins Inc also commits to reduce absolute scope 3 GHG emissions from the use of sold products 25% by 2030 from a 2018 base year.,BA1.5 member,10/14/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,10/14/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cummins,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,Yes,large,2240202,4/23/24,5,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Cummins,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,Yes,large,2240202,4/12/23,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
CVS Health,Corporate,United States of America,Northern America,Food and Staples Retailing,Targets set,1.5C,2030,Targets set,1.5C,2050,Targets set,2050,"CVS Health CVS Health commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-term Target As part of this commitment, CVS commits to reduce absolute scope 1 and 2 GHG emissions 47% by 2030 from a 2019 base year. CVS also commits to reduce absolute scope 3 GHG emissions from purchased goods and services 47% by 2030 from a 2019 base year. Long-Term Target CVS commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2019 base year. CVS also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, business travel, and downstream transportation 90% by 2050 from a 2019 base year.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,10/1/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVS Health,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,2577609,3/5/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
CVS Health,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,2577609,4/28/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Darling Ingredients,Corporate,United States of America,Northern America,Food Production - Animal Source Food Production,Committed,,,,,,Committed,,,BA1.5 member,12/8/22 1:00,,,12/8/22 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darling Ingredients,,,,,,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,small,2250289,4/5/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Darling Ingredients,,,,,,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,small,2250289,4/28/23,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No
DaVita,Corporate,United States of America,Northern America,"Healthcare Providers and Services, and Healthcare Technology",Targets set,1.5C,2030,,,,,,"DaVita Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year. DaVita Inc. commits to increase annual sourcing of renewable electricity from 0% in 2018 to 100% by 2030. DaVita Inc. also commits that 70% of its suppliers by emissions covering purchased goods and services, capital goods, waste generated in operations, and downstream transportation and distribution will have science-based targets by 2025.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,5/27/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DaVita,,,,,,,,,,,,,,,,,,,United States of America,USA,Health Care,No,medium,2898087,4/27/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Deere & Company,Corporate,United States of America,Northern America,Electrical Equipment and Machinery,Targets set,1.5C,FY2030,,,,,,Deere & Company commits to reduce absolute scope 1 and 2 GHG emissions 50% by FY2030 from a FY2021 base year*. Deere & Company also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and use of sold products 30% within the same timeframe. *The target boundary includes land-related emissions and removals from bioenergy feedstocks.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,10/26/23 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trex Company,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,2483074,3/4/24,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Delta Air Lines,Corporate,United States of America,Northern America,Air Transportation - Airlines,Targets set,Well-below 2°C,2035,,,,Committed,,Delta Air Lines commits to reduce well-to-wake scope 1 and 3 jet fuel GHG emissions 45% per revenue tonne kilometer by 2035 from a 2019 base year*. *Non-CO2e effects which may also contribute to aviation induced warming are not included in this target. Delta Air Lines commits to report publicly on its collaboration with stakeholders to improve understanding of opportunities to mitigate the non-CO2e impacts of aviation annually over its target timeframe.,BA1.5 member,9/9/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,9/1/22 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Air Lines,,,,,,,,,,,,,,,,,,,United States of America,USA,Airlines,Yes,large,B1W9D46,3/5/24,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Delta Air Lines,,,,,,,,,,,,,,,,,,,United States of America,USA,Airlines,Yes,large,B1W9D46,4/28/23,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Dover Corporation,Corporate,United States of America,Northern America,Electrical Equipment and Machinery,Targets set,Well-below 2°C,2030,,,,,,Dover Corporation commits to reduce absolute scope 1 and 2 market-based GHG emissions 30% by 2030 from a 2019 base year. Dover Corporation also commits to reduce absolute scope 3 GHG emissions 15% within the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,6/23/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orix Corporation,,,,,,,,,,,,,,,,,,,Japan,JPN,Financials,No,large,6661144,4/18/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
DuPont de Nemours,Corporate,United States of America,Northern America,Chemicals,Targets set,1.5C,2030,,,,Committed,,"DuPont de Nemours, Inc. commits to reduce absolute scope 1 and 2 GHG
emissions 50% by 2030 from 2019 base year.* DuPont de Nemours, Inc.
also commits to reduce absolute scope 3 GHG emissions from purchased
goods and services and end of life treatment of sold products 25% by 2030
from 2020 base year.*
*The target boundary includes biogenic land-related emissions and
removals from bioenergy feedstocks.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,8/15/24 1:00,United States of America,USA,Chemicals,No,large,BK0VN47,3/5/24,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes
