Company,Year,Overall transparency score,Overall integrity score,1. Transparency and Integrity,2. Transparency,2. Integrity,3. Transparency,3. Integrity,4. Transparency,4. Integrity,What is their revenue?,What are their emissions?,What is their pledge?,Major emission sources,Disclosure,Headline target or pledge,Short-term targets - grey,Short-term targets - white,Medium-term targets - grey,Medium-term targets - white,Longer-term targets - grey,Longer-term targets - white,Operational emissions (scope 1) number,Operational emissions (scope 1) verbiage,Renewable electricity (scope 2) number,Renewable electricity (scope 2) verbiage,Upstream emissions (scope 3) number,Upstream emissions (scope 3) verbiage,Downstream emissions (scope 3) number,Downstream emissions (scope 3) verbiage,Climate contributions today,Misleading offsetting claims today,Short and medium term targets - grey,Short and medium term targets - white,Emission Reduction Measures,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,training_idx
Deutsche Post DHL,2023,Moderate,Poor,Moderate,Moderate,Very Poor,Moderate,Moderate,Poor,Very Poor,USD 96.6 bn (2021),45.7 MtCO2e (2021),logistics-related emissions to net zero by 2050,Emissions from subcontractors (upstream transportation and distribution) account for 66% of reported emissions; scope 1 emissions for 16%.,Aggregate reporting excludes non-logistics-related emissions (14% of total reported emissions); full climate impact of aviation is not disclosed.,Reduce all logistics-related emissions to net zero by 2050,,,,,Net-zero logistics-related emissions by 2050,No clear emission reduction commitment. Non-logistics emissions excluded from the target.,,,,"86% of electricity consumption comes from renewable sources, but RECs account for over 95% of RE consumption.",,,,,,'Climate neutral delivery' through offsetting (low volume of medium- No climate contributions identiﬁed.,"Reduce s1 and s2 by 42% and selected s3 emissions by 25% by 2030, compared to 2021.","Emissions increased substantially since 2019, targets translate to a redcution of just 12% compared to 2019 emissions.",Measures cover all emission sources. They include investments in innovative solutions for electric vehicles and low- and zero-carbon fuels.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deutsche_post_dhl_2021
Deutsche Telekom,2022,Reasonable,Poor,High,High,Moderate,Very Poor,Very Poor,Moderate,Very Poor,USD 114 bn (2020),16.4 MtCO2e (2020),Net-zero emissions by 2040,"Use of sold and leased products (scope 3 downstream, 38%) and purchased energy (scope 2, 14%).",All major emission sources are disclosed. Location-based accounting for scope 2 emissions could be highlighted more prominently in aggregated statistics. Smaller (potentially insignificant) sources of scope 3 emissions may be missing from Deutsche Telekom’s reporting.,Net-zero emissions by 2040,,,,,,,,,,Granular data on electricity through various constructs. RECs account for major share.,,,,,No climate contributions identified,No offsetting claim in 2020/2021,,,Very limited information on pursued reduction measures.,,,,,,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,deutsche_telekom_2020
Deutsche Telekom,2024,Reasonable,Poor,High,High,Moderate,Very Poor,Very Poor,Moderate,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,DEU,Telecommunications,No,large,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,deutsche_telekom_2022
Deutsche Telekom,2023,Reasonable,Poor,High,High,Moderate,Very Poor,Very Poor,Moderate,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,DEU,Telecommunications,No,large,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,deutsche_telekom_2021
Duke Energy,2024,Moderate,Poor,Moderate,Moderate,Very Poor,Reasonable,Poor,Very Poor,Very Poor,USD 28.8 bn (2022),116.3 MtCO2e (2022),Net zero carbon emissions by 2050,Direct emissions from electricity generation (67%),"All emission sources disclosed, but access is restricted for audiences outside the US",Net zero carbon emissions by 2050,• Reduce carbon emissions from electricity generation by at least 50% below 2005 levels by 2030 • Net zero methane emissions from natural gas distribution business (scope 1) by 2030,Limited reduction in emissions across the value chain compared to 2019 levels,• Reduce scope 1 CO2 emissions from electricity generation by 80% below 2005 levels by 2040 • Reduce scope 2 and certain scope 3 emissions by 50% by 2035 from 2021 levels,Falls well short of 1.5°C compatible trajectories or benchmarks for the sector,"Net-zero emissions by 2050 from electricity generation and natural gas businesses, including scopes 1 and 2 and certain scope 3 emissions",No speciﬁc commitment to emission reductions alongside net zero terminology,67% of 2022 emissions,"Coal phaseout by 2035, delayed gas transition by 2050, and insuﬃcient renewable targets lag behind global benchmarks for advanced economies and",0% of 2022 emissions,risk future stranded assets Not assessed.,26% of 2022 emissions,"Coal phaseout by 2035, delayed gas transition by 2050, and insuﬃcient renewable targets lag behind global benchmarks for advanced economies and risk future stranded assets",7% of 2022 emissions,Shifting to waste-based RNG as a replacement for fossil gas to cut scope 3 downstream emissions is considered as a false solution,No climate contributions identiﬁed.,No offsetting claim identified.,,,,United States of America,USA,Electricity Utilities,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,duke_energy_2022
Duke Energy,2023,Moderate,Poor,Moderate,Moderate,Very Poor,Reasonable,Poor,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,USA,Electricity Utilities,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,duke_energy_2021
E.ON,2022,Poor,Very Poor,Very Poor,High,Very Poor,Very Poor,Very Poor,Very Poor,Unknown,~USD 69 bn [EUR 60.9 bn] (2020),116.3 MtCO2e (2020),Carbon neutral by 2040,"Distribution of third party generated electricity (scope 3 upstream, 53%), downstream gas combustion (scope 3 downstream, 36%).","Presentation of minor emission sources is transparent, but the major emissions sources (scope 3 from energy sales) are only partially covered, due to exclusion of electricity and gas sales to wholesale market and sales partners. This could significantly increase scope 3 emissions.",Carbon neutral by 2040,,,,,,,,,,Very little published detail; procurement includes lower quality constructs.,,,,,No climate contributions identified,Some scope 3 emissions are offset in 2020; no details on emission levels or the offsetting approach.,,,Limited information currently available on emission reduction measures: assessment not possible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e_on_2020
E.ON,2023,Poor,Very Poor,Very Poor,High,Very Poor,Very Poor,Very Poor,Very Poor,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,DEU,Electricity Utilities,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,e_on_2021
E.ON,2024,Poor,Very Poor,Very Poor,High,Very Poor,Very Poor,Very Poor,Very Poor,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,DEU,Electricity Utilities,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,e_on_2022
Enel,2022,Moderate,Poor,Moderate,High,Moderate,Unknown,Very Poor,Very Poor,Very Poor,~USD 73 bn [EUR 65 bn] (2020),97.9 MtCO2e (2020),Net zero by 2050,"Generation of electricity (scope 1, 46%), retail of third party generated 97.9 MtCO2e in 2020 electricity (scope 3 upstream, 26%), downstream gas combustion (scope 3 downstream, 22%).","Major emission sources are disclosed transparently.Reporting includes partial but not complete coverage of subsidiaries, with limited information available to interpret the significance of this.",Net zero by 2050,,,,,,,,,,Growing reliance on wholesale electricity markets with no disclosure of any measures to procure renewable energy.,,,,,No climate contributions identified,No offsetting claim in 2020/2021,,,"Strong emission reduction trend between 2018 and 2023 due to coal phase-out, but coal assets need to be permanently closed rather than sold to other companies; no clear phase-out plans for gas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enel_2020
Enel,2024,Reasonable,Reasonable,High,High,Reasonable,High,Reasonable,Poor,Poor,USD 147.8 bn (2022),134.9 MtCO2e (2022),Zero emissions in 2040,"Energy production (scope 1, 29%), sales of gas (scope 3, 17%), upstream fuel chain incl. electricity purchased (scope 3, 29%).",Major emission sources are disclosed transparently.,Zero emissions in 2040,68% GHG absolute reduction in all 3 scopes; 78% for integrated power (scope 1 and 3); 55% reduction in GHG scope 3 emissions relating to gas retail (all vs 2017),Intensity targets are at the lower end of the range of the benchmarks for the sector but should be reduced even further to meet European benchmarks.,Net zero in 2040; emissions intensity of electricty generation and gas sales reach 0.,"Enel aims at reaching Zero Emissions until 2040. Depending on available technologies, it might have 2.5 Mt CO2eq. residual emissions.",Not relevant,Not relevant,39% of 2022 emissions,"Enel commits to phase-out coal (2027) and gas (2040) and invests in renewables, but the pace is not quite suﬃcient to fully align with EU benchmarks.",3% of 2022 emissions,Not assessed.,39% of 2022 emissions,"Mitigation strategies apply also to electricity purchased and sold to end customers, but the pace is not quite suﬃcient to fully align with EU benchmarks.",17% of 2022 emissions,The company's strategy focuses on replacing fossil gas through electriﬁcation of its customers' energy demand. No investments in bioenergy are made.,No climate contributions identiﬁed.,No offsetting claim identified.,,,,Italy,ITA,Electricity Utilities,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,enel_2022
Enel,2023,Reasonable,Reasonable,High,High,Reasonable,High,Reasonable,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,ITA,Electricity Utilities,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,enel_2021
Engie,2023,Moderate,Poor,High,Moderate,Poor,Moderate,Poor,Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,France,FRA,Electricity Utilities,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,engie_2021
Engie,2024,Moderate,Poor,High,Moderate,Poor,Moderate,Poor,Poor,Very Poor,USD 98.7 bn (2022),174.3 MtCO2e (2022),Net zero carbon by 2045,"Energy production (scope 1, 36%), sales of gas (scope 3, 35%), upstream fuel chain incl. resale of electricity purchased (scope 3, 24%).",Major emission sources are disclosed transparently.,Net zero carbon by 2045,Reduce carbon intensity of direct energy production (scope 1) to 110g CO2/kWh in 2030 and reduce carbon intensity of energy sales procured (scope 1 and 3) to 152g CO2/kWh in 2030,A range of objectives have been set but 2030 targets are not aligned with 1.5°C compatible decarbonisation benchmarks for the sector.,No targets for the 2031-2040 timeframe identiﬁed.,ENGIE has not set medium-term targets.,Net zero carbon by 2045,The GHG target of at least -90% (2017 baseline) represents a 86% reduction compared to 2019 and is not in line with 1.5°.,17% of 2022 emissions,Plans to phase-out coal but not gas power plants. Renewable ramp-up is insuﬃcient. The company invests in potentially false solutions such as gas CCS.,0% of 2022 emissions,Not assessed.,29% of 2022 emissions,It is unclear whether ENGIE plans to reduce the GHG intensity of electricity purchased.,54% of 2022 emissions,The strategy is centered around the role of (decarbonised) gas in the energy mix and there is not clear support for large-scale electriﬁcation.,No climate contributions identiﬁed.,No offsetting claim identified.,,,,France,FRA,Electricity Utilities,Yes,large,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,engie_2022
Fast Retailing,2023,Moderate,Poor,Reasonable,Moderate,Very Poor,Poor,Very Poor,Very Poor,Very Poor,19.4 bn (2021) 5.50 (2021),MtCO2e To reduce 90% production fabric manufacturing),"scope 1 and 2 emissions by and scope 3 emissions (from the of raw materials for products, production and garment by 20% by FY2030","Procurement of materials in the supply chain (76%), speciﬁcally raw material production, fabric production and sewing (upstream scope 3).",Complete disclosure. No estimate for downstream transportation and distribution. Market- and location-based estimates provided for scope 2 emissions.,To reduce scope 1 and 2 emissions by 90% and scope 3 emissions (from the production fabric production and garment manufacturing) by 20% by FY2030,,,,,43% GHG emission reductions by 2030. Net zero by 2050,Long-term vision is unclear. Concrete plans and emissions coverage have not been made public. No clear long-term vision is set out.,,,,"Low share of RE (<10%). Plans underway for 100% RE by 2030. On-site solar PV in Japan, RECs in other regions.",,,,,,No climate contributions identiﬁed. No oﬀsetting claims today identiﬁed.,"Emission reductions by 2030 (2019 baseline): - 90% in operations (s1, s2) - 20% in raw materials, fabric and garment production (s3, Uniqlo and GU brands)","74% of 2019 emissions footprint. Exclusion of emissions from brands other than Uniqlo and GU, and downstream scope 3 emissions. Targeted emission reductions across the company's whole value chain are insufﬁcient to meet the global benchmark of","Outlined for most emission sources, e.g., energy efﬁciency improvements, materials recycling, emission reduction plans for suppliers. Too few details to gauge impact.",Japan,JPN,Consumer Services,No,large,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,fast_retailing_2021
Fast Retailing,2024,Poor,Poor,Moderate,Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,USD 17.5 bn (2022),6.0 MtCO2e (2022),Carbon neutrality by 2050,Scope 3 accounts for 95% of Fast Retailing's emissions. Purchased goods (70%) are the most important source. Use of sold products is shown separately and not counted towards the total.,GHG reported for all years and most categories. Activity indicators not provided for all scopes. Lowest S2 value used for total emissions.,Carbon neutrality by 2050,"To reduce scope 1 and 2 emissions by 90% and scope 3 emissions (from the production of raw materials for products, fabric production and garment manufacturing) by 20% by FY2030",Targeted emission reductions across the company's whole value chain are insuﬃcient to meet the global benchmark of 43% GHG emission reductions by 2030.,No target identiﬁed.,No target identiﬁed.,Carbon neutrality by 2050.,Carbon neutrality target is not supported by emission reduction target,0% of 2022 emissions,Not assessed.,5% of 2022 emissions,Most electricity procured to date through standalone RECs. No clear commitment to use high quality constructs towards 100% RE target.,82% of 2022 emissions,Measures cover most key areas but lack suﬃcient information to estimate impact.,13% of 2022 emissions,Not assessed.,No climate contributions identiﬁed.,No offsetting claim identified.,,,,Japan,JPN,Consumer Services,No,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,fast_retailing_2022
Foxconn,2023,Poor,Poor,Poor,Moderate,Moderate,Poor,Poor,Very Poor,Very Poor,USD 214.6 bn (2021),29.4 MtCO2e (2020),Net-zero emissions in the value chain by 2050,"S3 accounts for 82% of disclosed emissions, but Foxconn provides no breakdown of emission sources.","Incomplete disclosure. S3 emissions only reported for 2020, no breakdown provided. Highest estimate reported for s2 emissions (location based).",Net-zero emissions in the value chain by 2050,,,,,Net-zero emissions in the value chain by 2050.,Full coverage of value-chain emissions. 63% reductions by 2035 (2020 baseline). No reduction target alongside net-zero emissions target by 2050.,,,,"Only 5% of electricity is renewable, with 50% aim for 2030. Details on procurement constructs not provided, although most comes from on-site installations.",,,,,,No climate contributions identiﬁed. No oﬀsetting claims today identiﬁed.,"Carbon emissions reduction targets, 2020 baseline: 21% by 2025, 42% by 2030. Net-zero emissions in Taiwanese oﬃces by 2030.",Unclear whether targets cover CO2 or all GHG emissions. The pledged 42% reduction by 2030 is almost aligned with a 1.5°C compatible trajectory.,"Little information. Energy-saving measures. Guidance for suppliers to procure RE and set targets, but proportion of suppliers covered is unclear.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foxconn_2021
GlaxoSmithKline,2022,Moderate,Poor,High,Very Poor,Very Poor,Moderate,Moderate,Moderate,Very Poor,USD 45 bn (2020),16.0 MtCO2e (2019),Net-zero carbon by 2030,Purchase of goods and services (40%) and use of sold products (40%).,"Major emission sources are disclosed transparently. Reporting both location-based and market-based for scope 2 emissions, but (lower) market-based method used for sum of emissions.",Net-zero carbon by 2030,,,,,,,,,,Very limited detail on renewable energy constructs. Assessment not possible.,,,,,No climate contributions identified,No offsetting claim in 2020/2021,,,High-level description of potentially high-impact emission reduction measures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glaxosmithkline_2020
Google,2022,Poor,Poor,Moderate,Very Poor,Very Poor,Moderate,Moderate,Very Poor,Very Poor,USD 182.5 bn (2020),15.3 MtCO2e (2020),Carbon free and net zero by 2030,Electricity for data centres (in scope 2); use of products (in scope 3 downstream).,"The granularity of emissions reporting is limited for “business reasons”, which limits transparency, especially for Scope 3 emissions which represent the majority. The company discloses both market-based and location-based scope 2 emissions but uses the lower value for total aggregated emissions.",“Carbon free by 2030” and “Net-zero emissions by 2030”,,,,,,,,,,Mostly PPAs on the same grid; 2030 target for 24/7 matching.,,,,,No climate contributions identified,"Carbon neutral claim since 2007, with low integrity (see Box B3).",,,"Major flagship projects and measures across most emission sources. The emissions coverage of measures is unclear due to limited granularity of emission disclosure, but scope 1 and scope 3 emissions have significantly reduced in recent years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,google_2020
Google,2023,Moderate,Moderate,Moderate,Moderate,Very Poor,Reasonable,Reasonable,Moderate,Poor,USD 257.54 bn (2021),16 MtCO2e (2021),Net-zero emissions by 2030,S3 emissions (59%) and s2 emissions from consumed electricity (41%). Disclosure: S3 reporting lacks detail; market- and,"S3 reporting lacks detail; market- and location-based s2 emissions disclosed, but the lowest of the two used for aggregated emissions.",Net-zero emissions by 2030,,,,,Google does not have any long-term targets beyond 2030.,No emission reduction plans identiﬁed after 2030.,,,,"66% of consumed electricity is matched with 24/7 RE (100% annually). RE from PPAs (77%), the grid (23%), and on-site installations (0.05%).",,,,,Google enhances mitigation projects through Google.org. No link to,"unabated emissions. Limited detail on projects, volume, and timelime. Neutrality claim covers ~12% of 2021 emissions, based on RE",- Net-zero emissions by 2030 - Match 100% of consumed electricity with 24/7 RE by 2030.,"Commitment to reduce market-based emissions by 50% by 2030, which translates to a 37% reduction of location-based emissions.","Emission reduction measures across all scopes, precise mitigation impact in s3 remains unclear. Emissions increased by 5% in 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,google_2021
H&M Group,2023,Moderate,Moderate,Moderate,High,Reasonable,Moderate,Very Poor,Poor,Poor,USD 23.2 bn (2021),8.2 MtCO2e (2021),Net zero no later than 2040,Fabric production (35%) and product use (21%) are the most important emission souces.,"Detailed breakdown of emissions from purchased goods (scope 3, category 1). Some other scope 3 categories are not disclosed.",Net zero no later than 2040,,,,,Carbon neutrality by 2040,"Commitment to reduce s1 and s2 emissions, as well as s3 emissions by 90%, compared to 2019.",,,,unclear due to limited information. RECs cover over 95% of electricity consumption.,,,,,,H&M Group joined the LEAF coalition but we could not identify further details. No oﬀsetting claims today identiﬁed.,Reduce s1 and s2 emissions by 56% by 2030; and reduce s3 emissions also by 56% by 2030.,"Aligned with global benchmarks for necessary GHG emission reductions, but no reduction target within the next 5 years.",Biomass in the production phase has adverse climate and sustainability implications. Potential impact of recycling and sourcing more sustainable materials is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h&m_group_2021
H&M Group,2024,Reasonable,Moderate,Reasonable,High,Reasonable,Moderate,Poor,Moderate,Moderate,USD 22.1 bn (2022),6.1 MtCO2e (2022),Net zero by 2040,Scope 3 accounts for 94% of H&M's emissions. Purchased goods (67%) are the most important source. Use of sold products is shown separately and not counted towards the total.,GHG reported for all years and most categories. Activity indicators provided for all scopes. Lowest S2 value used for total emissions.,Net zero by 2040,"Reduce scope 1, 2, and 3 by 56% below 2019 levels",Target includes all relevant information. Target in line with existing benchmarks.,"Reducing scope 1, 2 and 3 emissions by 90% below 2018",Target includes all relevant information. Target in line with existing benchmarks.,No target identiﬁed.,No target identiﬁed.,0.4% of 2022 emissions,Not assessed.,7.6% of 2022 emissions,"H&M signals that it plans to use PPAs to implement its 2030 target for 100% renewable electricity, but does not commit to hourly matching.",88.9% of 2022 emissions,"Measures cover all key areas but lack suﬃcient information to estimate impact, especially regarding the use of biomass and reducing (over)production.",3.1% of 2022 emissions,Not assessed.,"Unclear whether H&M plans to make climate contributions, for example through its LEAF membership.",No offsetting claim identified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h&m_group_2022
Hitachi,2022,Poor,Poor,Moderate,Moderate,Moderate,Very Poor,Very Poor,Very Poor,Very Poor,USD 75.57 bn (2020),60.8 MtCO2e (2020),Carbon neutrality by 2050,"Use of sold products (downstream scope 3, 83%), Purchased goods and services (upstream scope 3, 9%).","Most major emission sources are disclosed, but with limited detail. Only market-based accounting method disclosed for scope 2 emissions. Scope 3 downstream emissions from processing of sold products are not disclosed. Reporting covers 871 of 1,216 subsidiaries and no joint ventures.",Carbon neutrality throughout value chain by 2050,,,,,,,,,,Limited information provided; use of RECs to compensate for scope 2 emissions.,,,,,No climate contributions identified,No offsetting claim in 2020/2021,,,Limited information on a range of measures. Adequacy unclear.,,,,,,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,hitachi_2020
Hitachi,2024,Poor,Poor,Moderate,Moderate,Moderate,Very Poor,Very Poor,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,Japan,JPN,Industrials,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,hitachi_2022
Hitachi,2023,Poor,Poor,Moderate,Moderate,Moderate,Very Poor,Very Poor,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,Japan,JPN,Industrials,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,hitachi_2021
Holcim,2023,Reasonable,Moderate,Reasonable,High,Moderate,Moderate,Moderate,Poor,Poor,USD 29.3 bn (2021),149.1 MtCO2e (2021),Net zero by 2050,S1 related to cement manufacturing (82%) and s3 purchased goods and services (9%). Disclosure: S2 emissions reported using both a location-,"S2 emissions reported using both a location- and market-based accounting approach, while the company uses the higher value to present total emissions. Unclear why some s3 sub-categories are excluded.","Net-zero by 2050 By 2030, reduce the carbon intensity:",,,,,"Net zero by 2050, including: - s1&2: 95% reduction in CO2/t cement below 2018 (intensity target)","Targets meet 1.5°C-aligned sectoral benchmarks, but intensity target and heavy reliance on CCUS makes the appropriateness of net zero reduction in absolute emissions below 2020",,,,"solutions, but limitations of CCUS are not discussed. Total volume of energy procured by construct only reported in CDP response, showing a high reliance on RECs.",,,,,No climate contributions identiﬁed.,"At a product-level, the company offers costumers to offset emissions under its 'ECOPact Zero' label. No information",- of cementicious materials below 2018 by 22.5% for s1 and 65% for s2 - of bought clinker and cement below 2020 by 20% for s3 (purchased goods) - of bought fuel below 2020 by 20% for s3 (fuel- and energy related) - of sold products below 2020 by 24% for s3 (downstream transport),2030 intensity targets for s1 and s2 partially meet 1.5°C-aligned sectoral benchmarks. Absolute emission reductions cannot be quantiﬁed.,"Measures cover all emission sources, include additional targets, emission reduction estimates and plans to mainstream innovative",Switzerland,CHE,Cement,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,holcim_2021
Holcim,2024,Reasonable,Moderate,Reasonable,High,Moderate,Moderate,Moderate,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,CHE,Cement,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,holcim_2022
Iberdrola,2023,Reasonable,Reasonable,High,Reasonable,Reasonable,Moderate,Reasonable,Moderate,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,ESP,Electricity Utilities,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,iberdrola_2021
Iberdrola,2024,Reasonable,Reasonable,High,Reasonable,Reasonable,Moderate,Reasonable,Moderate,Very Poor,USD 56.7 bn (2022),55.8 MtCO2e (2022),Net zero emissions before 2040,Three quarters of emissions originate from upstream fuel chain (incl. purchased electricity) and sales of fossil gas.,Detailed disclosures of emissions in all operating countries.,Net zero emissions before 2040,"Carbon neutrality in scope 1 and 2 emissions, a reduction of absolute scope 1, 2 and 3 GHG emissions 65% by 2030 and absolute scope 1, 2 and 3 emissions 20% by 2026, both from a 2020 base year","Potentially misleading carbon neutrality target, but targeted emission reductions are 1.5°C-compatible","A reduction of scope 1, 2 and 3 emissions 90% by 2039 from a 2020 base year",Most relevant emissions scopes are covered but net zero target misses the benchmark for advanced economies,No targets identiﬁed.,No target identiﬁed.,20% of 2022 emissions,Iberdrola has completely phased out coal in 2020. It has an ambitious renewable deployment target by 2030.,3% of 2022 emissions,No investments made in CCUS Not assessed.,52% of 2022 emissions,"Iberdrola has completely phased out coal in 2020, yet fossil gas-ﬁred power plants will be sold instead of decommissioned",24% of 2022 emissions,"Comprehensive strategy to end its fossil gas sales is missing, but it supports decarbonising other sectors through green hydrogen and electriﬁcation",No climate contributions identiﬁed.,No offsetting claim identified.,,,,Spain,ESP,Electricity Utilities,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,iberdrola_2022
