Year,Overall transparency score,Overall integrity score,1. Transparency and Integrity,2. Transparency,2. Integrity,3. Transparency,3. Integrity,4. Transparency,4. Integrity,Name,What is their revenue?,What are their emissions?,What is their pledge?,Major emission sources,Headline target or pledge,Short-term targets - grey,Short-term targets - white,Medium-term targets - grey,Medium-term targets - white,Longer-term targets - grey,Longer-term targets - white,Operational emissions (scope 1) number,Operational emissions (scope 1) verbiage,Renewable electricity (scope 2) number,Renewable electricity (scope 2) verbiage,Upstream emissions (scope 3) number,Upstream emissions (scope 3) verbiage,Downstream emissions (scope 3) number,Downstream emissions (scope 3) verbiage,Climate contributions today,Misleading offsetting claims today,Short and medium term targets - grey,Short and medium term targets - white,Emission Reduction Measures,Renewable Electricity
2023,Moderate,Poor,Reasonable,Reasonable,Moderate,Poor,Very Poor,Poor,Very Poor,Ahold Delhaize,USD 79.5 bn (2021),70.3 MtCO2e (2021),Net zero across entire value chain by 2050,"Major emission sources: 88% of reported emissions are from purchased goods and services (upstream s3), mainly related to agricultural activities.",Net zero across entire value chain by 2050,,,,,S1 and s2: net zero by 2040. S3: net zero by 2050.,"Net-zero targets presented with emission reduction targets, translating to ~82% reduction by 2050 (2019 baseline). Close to available benchmarks.",,,,,,,,,,Ahold Delhaize's brands sell 'climate-neutral' products. No climate contributions identiﬁed.,"- Reduce s1 and s2 by 29% by 2025 and 50% by 2030, compared to 2018 - Reduce s3 by 37% by 2030, compared to 2020","Targets translate to ~33% emission reduction by 2030 (2019 baseline). None of the separate s1, s2 and s3 targets are fully aligned with benchmarks.","Comprehensive strategy for s1 and s2. S3 strategy includes various measures, but no clear signs of transformative reductions in signiﬁcant emission sources.",Very limited amount of information in consumer-facing reporting. RE accounts for just 14% of electricity demand.
2023,Poor,Poor,Moderate,Poor,Very Poor,Poor,Poor,Poor,Very Poor,Amazon,USD 469.82 bn (2021),71.5 MtCO2e (2021),Net-zero carbon by 2040,"Major emission sources: The majority of Amazon's emission footprint comes from s3 emissions (77%). Disclosure: Emission disclosure lacks transparency,",Net-zero carbon by 2040,,,,,Amazon pledges to reach net-zero carbon across its operation by 2040.,"Unlear scope coverage and if the target refers to CO2 only, or all GHG emissions. No emission reduction target alongside the net-zero pledge.",,,,,,,,,,Right Now Climate Fund: $100m for biological CDR. Unclear if related to climate contribution or future neutralisation.,- Sourcing 100% of its used electricity from RE sources by 2025 - By 2030 50% of Amazon's shipments will be net-zero,"Max. emission reduction of 16% (parts s1, s2), but possibly much less: details are lacking, potential use of RECs and offsets to reach targets.",Measures with the potential for deep deacrbonisation are implemented for transport and buildings. Coverage and overall impact of those measures is unclear.,"Today 85% RE electricty by 2025, target of 100%. Lack of transparency on RE procurement at an aggregated level, potential use of unbundled RECs."
2023,Moderate,Very Poor,Poor,Moderate,Very Poor,Moderate,Very Poor,Poor,Very Poor,American Airlines,USD 29.9 bn (2021),42.0 MtCO2e (2021),Net-zero GHG emissions by 2050,Major emission sources: Jet fuel accounts for 99% of s1 and 30% of upstream s3 emissions. Disclosure: Various non-GHG emissions disclosed but,Net-zero GHG emissions by 2050,,,,,Reduce the intensity of jet fuel by 45% and s2 emissions by 40% by 2035 compared to 2019; and net-zero GHG emissions by 2050.,Targets cover jet fuel but exclude various s3 emission sources. They do not meet 1.5°C-aligned sectoral benchmarks.,,,,,,,,,,Projects supported do not represent high-hanging fruit projects No climate contributions identiﬁed.,Source 2.5 mn GJ of RE by 2025; achieve absolute reduction of 50 million gallons of jet fuel from fuel-eﬃciency initiatives; and use 10% SAF by 2030.,No intensity or absolute reduction commitments for 2030. The SAF target is at the very minimum of what sectoral benchmarks require.,Measures to improve efﬁciency of aircraft and ground handling; investments in SAF. No commitment to phase out carbon- intensive activities or decreasing demand for aviation.,40% of purchased electricity is labelled as 'renewable'; American Airlines purchases unbundled RECs to make this claim.
2023,Reasonable,Moderate,Reasonable,Moderate,Moderate,High,High,Reasonable,Very Poor,Apple,USD 365.8 bn (2021),24.2 MtCO2e (2021),Carbon neutral by 2030,Major emission sources: Purchase of goods for manufacturing (67%) and emissions from the use of sold products (21%).,Carbon neutral by 2030,,,,,No long-term vision for emission reductions beyond 2030.,No long-term vision communicated.,,,,,,,,,,"Carbon neutrality claim for s1, s2, employee commute, and business No climate contributions identiﬁed.",Carbon neutral by 2030,Full coverage of life-cycle emissions. 75% reduction by 2030 relative to 2015. Aligned with benchmarks for 1.5°C warming. No short-term target.,"Detailed information on measures covering all major emission sources, including transition of supply chain to renewable electricity and measures to extend product lifetimes.","Detailed information. 100% of electricity consumption is renewable, mostly supplied through high-quality PPAs. Investments in on-site installations with storage."
2023,Moderate,Moderate,Reasonable,Moderate,Poor,Moderate,Poor,Poor,Poor,ArcelorMittal,USD 76.6 bn (2021),166.2 MtCO2e (2021),Net-zero by 2050,Major emission sources: Emissions from steelmaking processes (s1) account for over 80% of reported emissions.,Net-zero by 2050,,,,,Net-zero by 2050,We interpret that the target covers s1 and s2 emissions. Company does not explicitly commit to own emissions reduction target by 2050.,,,,,,,,,,No climate contributions identiﬁed. No oﬀsetting claims today identiﬁed.,Global: reduce emissions intensity by 25% below 2018 levels in 2030 (eq. 1.54 tCO2/tsteel) Europe: reduce emissions intensity by 35% below 2018 levels in 2030,"Supporting measures indicate alignment with some 1.5°C aligned sectoral benchmarks, although benchmarks are not directly comparable.","Measures cover s1 and s2, and include the use of different potential low-carbon technologies without specifying the technology split in 2030.",Renewable energy procurement constructs not disclosed.
2023,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Carrefour,USD 87.8 bn (2021),136.3 MtCO2e (2021),Carbon neutrality by 2040,"Major emission sources: Upstream emissions for products and packaging (72%), mostly from agriculture. Downstream use of non-food products (23%).",Carbon neutrality by 2040,,,,,Carbon neutrality by 2040,"Target includes a commitment to 70% reduction of only s1 and s2 emissions, and only in selected locations.",,,,,,,,,,No oﬀsetting claims today identiﬁed. No climate contributions identiﬁed.,- 50% reduction of s1 & 2 emissions by 2030 compared to 2019. - 29% reduction of s3 emissions by 2030 compared to 2019.,Most Carrefour locations appear to be excluded from the targets; we interpret these targets only apply to 20-50% of Carrefour output.,Plans address key emission sources but are limited in geographical coverage and lacking concrete commitments.,Limited use of RE currently. Organisation-wide data could not be identiﬁed. Geographical coverage of the 2030 target is unclear.
2023,Moderate,Poor,Moderate,Moderate,Very Poor,Moderate,Moderate,Poor,Very Poor,Deutsche Post DHL,USD 96.6 bn (2021),45.7 MtCO2e (2021),logistics-related emissions to net zero by 2050,Major emission sources: Emissions from subcontractors (upstream transportation and distribution) account for 66% of reported emissions; scope 1 emissions for 16%.,Reduce all logistics-related emissions to net zero by 2050,,,,,Net-zero logistics-related emissions by 2050,No clear emission reduction commitment. Non-logistics emissions excluded from the target.,,,,,,,,,,'Climate neutral delivery' through offsetting (low volume of medium- No climate contributions identiﬁed.,"Reduce s1 and s2 by 42% and selected s3 emissions by 25% by 2030, compared to 2021.","Emissions increased substantially since 2019, targets translate to a redcution of just 12% compared to 2019 emissions.",Measures cover all emission sources. They include investments in innovative solutions for electric vehicles and low- and zero-carbon fuels.,"86% of electricity consumption comes from renewable sources, but RECs account for over 95% of RE consumption."
2023,Moderate,Poor,Reasonable,Moderate,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Fast Retailing,19.4 bn (2021) 5.50 (2021),MtCO2e To reduce 90% production fabric manufacturing),"scope 1 and 2 emissions by and scope 3 emissions (from the of raw materials for products, production and garment by 20% by FY2030","Major emission sources: Procurement of materials in the supply chain (76%), speciﬁcally raw material production, fabric production and sewing (upstream scope 3).",To reduce scope 1 and 2 emissions by 90% and scope 3 emissions (from the production fabric production and garment manufacturing) by 20% by FY2030,,,,,43% GHG emission reductions by 2030. Net zero by 2050,Long-term vision is unclear. Concrete plans and emissions coverage have not been made public. No clear long-term vision is set out.,,,,,,,,,,No climate contributions identiﬁed. No oﬀsetting claims today identiﬁed.,"Emission reductions by 2030 (2019 baseline): - 90% in operations (s1, s2) - 20% in raw materials, fabric and garment production (s3, Uniqlo and GU brands)","74% of 2019 emissions footprint. Exclusion of emissions from brands other than Uniqlo and GU, and downstream scope 3 emissions. Targeted emission reductions across the company's whole value chain are insufﬁcient to meet the global benchmark of","Outlined for most emission sources, e.g., energy efﬁciency improvements, materials recycling, emission reduction plans for suppliers. Too few details to gauge impact.","Low share of RE (<10%). Plans underway for 100% RE by 2030. On-site solar PV in Japan, RECs in other regions."
2023,Poor,Poor,Poor,Moderate,Moderate,Poor,Poor,Very Poor,Very Poor,Foxconn,USD 214.6 bn (2021),29.4 MtCO2e (2020),Net-zero emissions in the value chain by 2050,"Major emission sources: S3 accounts for 82% of disclosed emissions, but Foxconn provides no breakdown of emission sources.",Net-zero emissions in the value chain by 2050,,,,,Net-zero emissions in the value chain by 2050.,Full coverage of value-chain emissions. 63% reductions by 2035 (2020 baseline). No reduction target alongside net-zero emissions target by 2050.,,,,,,,,,,No climate contributions identiﬁed. No oﬀsetting claims today identiﬁed.,"Carbon emissions reduction targets, 2020 baseline: 21% by 2025, 42% by 2030. Net-zero emissions in Taiwanese oﬃces by 2030.",Unclear whether targets cover CO2 or all GHG emissions. The pledged 42% reduction by 2030 is almost aligned with a 1.5°C compatible trajectory.,"Little information. Energy-saving measures. Guidance for suppliers to procure RE and set targets, but proportion of suppliers covered is unclear.","Only 5% of electricity is renewable, with 50% aim for 2030. Details on procurement constructs not provided, although most comes from on-site installations."
2023,Moderate,Moderate,Moderate,Moderate,Very Poor,Reasonable,Reasonable,Moderate,Poor,Google,USD 257.54 bn (2021),16 MtCO2e (2021),Net-zero emissions by 2030,Major emission sources: S3 emissions (59%) and s2 emissions from consumed electricity (41%). Disclosure: S3 reporting lacks detail; market- and,Net-zero emissions by 2030,,,,,Google does not have any long-term targets beyond 2030.,No emission reduction plans identiﬁed after 2030.,,,,,,,,,Google ﬁnances mitigation projects through Google.org. No link to,"unabated emissions. Limited detail on projects, volume, and timelime. Neutrality claim covers ~12% of 2021 emissions, based on RE",- Net-zero emissions by 2030 - Match 100% of consumed electricity with 24/7 RE by 2030.,"Commitment to reduce market-based emissions by 50% by 2030, which translates to a 37% reduction of location-based emissions.","Emission reduction measures across all scopes, precise mitigation impact in s3 remains unclear. Emissions increased by 5% in 2021.","66% of consumed electricity is matched with 24/7 RE (100% annually). RE from PPAs (77%), the grid (23%), and on-site installations (0.05%)."
2023,Moderate,Moderate,Moderate,High,Reasonable,Moderate,Very Poor,Poor,Poor,H&M Group,USD 23.2 bn (2021),8.2 MtCO2e (2021),Net zero no later than 2040,Major emission sources: Fabric production (35%) and product use (21%) are the most important emission souces.,Net zero no later than 2040,,,,,Carbon neutrality by 2040,"Commitment to reduce s1 and s2 emissions, as well as s3 emissions by 90%, compared to 2019.",,,,,,,,,,H&M Group joined the LEAF coalition but we could not identify further details. No oﬀsetting claims today identiﬁed.,Reduce s1 and s2 emissions by 56% by 2030; and reduce s3 emissions also by 56% by 2030.,"Aligned with global benchmarks for necessary GHG emission reductions, but no reduction target within the next 5 years.",Biomass in the production phase has adverse climate and sustainability implications. Potential impact of recycling and sourcing more sustainable materials is,unclear due to limited information. RECs cover over 95% of electricity consumption.
2023,Reasonable,Moderate,Reasonable,High,Moderate,Moderate,Moderate,Poor,Poor,Holcim,USD 29.3 bn (2021),149.1 MtCO2e (2021),Net zero by 2050,Major emission sources: S1 related to cement manufacturing (82%) and s3 purchased goods and services (9%). Disclosure: S2 emissions reported using both a location-,"Net-zero by 2050 By 2030, reduce the carbon intensity:",,,,,"Net zero by 2050, including: - s1&2: 95% reduction in CO2/t cement below 2018 (intensity target)","Targets meet 1.5°C-aligned sectoral benchmarks, but intensity target and heavy reliance on CCUS makes the appropriateness of net zero reduction in absolute emissions below 2020",,,,,,,,,No climate contributions identiﬁed.,"At a product-level, the company offers costumers to offset emissions under its 'ECOPact Zero' label. No information",- of cementicious materials below 2018 by 22.5% for s1 and 65% for s2 - of bought clinker and cement below 2020 by 20% for s3 (purchased goods) - of bought fuel below 2020 by 20% for s3 (fuel- and energy related) - of sold products below 2020 by 24% for s3 (downstream transport),2030 intensity targets for s1 and s2 partially meet 1.5°C-aligned sectoral benchmarks. Absolute emission reductions cannot be quantiﬁed.,"Measures cover all emission sources, include additional targets, emission reduction estimates and plans to mainstream innovative","solutions, but limitations of CCUS are not discussed. Total volume of energy procured by construct only reported in CDP response, showing a high reliance on RECs."
2023,Moderate,Poor,Moderate,Moderate,Very Poor,Poor,Very Poor,Poor,Poor,Inditex,USD 32.8 bn (2021),13.9 MtCO2e (2021),Net-zero GHG emissions by 2040,Major emission sources: S3 emissions account for 99.6% of the total. Most relevant categories are purchased goods and services (59%) and use of sold products (21%).,Net-zero GHG emissions by 2040,,,,,Net-zero GHG emissions by 2040,Net-zero target scope not clear. No own emission reduction target presented alongside net-zero pledge.,,,,,,,,,,"Climate contribution to nature conservation projects, but limited volume (eq. to EUR 0.24/tCO2e) No oﬀsetting claims today identiﬁed.",-Reduce s1&2 emissions by 90% below 2018 levels by 2030. -Reduce s3 emissions from purchased goods and services by 20% below 2018 levels by 2030.,"Targets represents a 10% reduction in total emissions, well below 1.5°C-aligned benchmarks for the fashion industry",Insufﬁcient information is provided to understand the signiﬁcance and sufﬁciency of emission reduction measures.,Inditex does not publicly disclose RE procurement constructs. CDP responses indicate high reliance on RECs.
2023,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Moderate,Very Poor,JBS,USD 64.7 bn (2021),71.1 MtCO2e (2021),Net-zero GHG emissions by 2040,"Major emission sources: Major emissions are in s3. Although no breakdown provided, we assume that emissions related to rearing cattle are the main emission source.",Net-zero GHG emissions by 2040,,,,,Net-zero emissions by 2040,JBS does not specify an emission reduction target alongside its net-zero emissions pledge; the sufﬁciency of that long-term vision is unclear.,,,,,,,,,Fund for the Amazon,projects may have a positive climate impact. Sum of support is not proportional to JBS' GHG footprint.,Reduce s1&2 emissions by 30% by 2030 from a 2019 baseline.,Unclear language around intensity vs. absolute target. Does not cover s3 (>90% of emissions).,Emission reduction measures described in vague terms; potential impact remains unclear. Unclear how most important emission sources (rearing cattle) will be reduced.,"Little public information on RE procurement. Claim that 46% of electricity demand is RE-based, but little to no info on existing and planned procurement constructs."
2023,Reasonable,Reasonable,Reasonable,High,Reasonable,Moderate,Moderate,Moderate,Moderate,Maersk,USD 61.8 bn (2021),78 MtCO2e (2022),Net zero across the business and value chain by 2040 with 100% green solutions for customers,"Major emission sources: Fuel consumption on own vessels (s1) accounts for half of all emissions; upstream transportation and distribution and use of sold products for 17% and 13%, respectively.",Net zero across the business and value chain by 2040 with 100% green solutions,,,,,Net zero across the business and value chain by 2040 with 100% green solutions for customers,"90% reduction from 2020 levels is in line with sectoral benchmarks. No explicit mention that non-GHG climate forcers are covered, but these will decrease as Maersk makes the transition",,,,,,,,,,Plans to remove and store at least 5 MtCO2 in 2030 without making a neutralisation claim; further details are lacking. No oﬀsetting claims today identiﬁed.,"2030 targets for ocean activities: 50% reduction in GHG intensity (below 2020) and 25% of cargo to be transported with green fuels. Separate targets for air cargo, logistics facilities, landside and own terminals.",Absolute emission reductions cannot be derived from the company's emission intensity targets. The green fuel targets for shipping exceed 1.5°C-compatible benchmarks for this sector.,Comprehensive plans to shift from fossil fuels to low-carbon and zero-carbon alternatives. No commitment to using bio-based fuels as an interim solution only.,"All European terminals are powered by renewable energy, but more details are lacking. Focus on PPAs and on-site installations in the future."
2023,Poor,Poor,Moderate,Poor,Very Poor,Moderate,Moderate,Very Poor,Very Poor,Mercedes-Benz Group,USD 198.6 bn (2021),124.9 MtCO2e (2021),CO₂-neutral across all stages of the value chain by 2039,"Major emission sources: Use phase of sold vehicles (80% in 2021, downstream s3), purchased goods and services (16% in 2021, upstream s3).",New vehicle ﬂeet CO₂-neutral across all stages of the value chain by 2039,,,,,New vehicle ﬂeet CO₂-neutral across all stages of the value chain by 2039,All emission scopes covered. No emission reduction commitment alongside carbon neutrality pledge. No 1.5°C-aligned phaseout dates for ICEs.,,,,,,,,,,Use of offsets to claim 'CO2-neutral' production plants worldwide No climate contributions identiﬁed.,- 40% vehicle life-cycle emissions intensity reduction by 2030 (below 2018) - 50% absolute s1 & s2 emissions reduction by 2030 (below 2018),No 1.5°C-aligned phaseout dates for ICEs. 2030 targets cannot be quantifed across the entire value chain due to lack of historical emission data.,"Relevant measures for key emission sources, including investments in vehicle electriﬁcation and low-carbon steel production. Limited details on timeline and expected impact.","Detailed information disclosed for German production plants only. On-site generation and PPAs (solar, wind, hydro) with combined storage to match consumption and generation."
2023,Reasonable,Moderate,Reasonable,Moderate,Very Poor,Moderate,Moderate,High,Poor,Microsoft,USD 168.09 bn (2021),19.2 MtCO2e (2021),Carbon negative by 2030,"Major emission sources: Emissions from electricity (25%; location-based s2), purchased goods and services (26%), and the construction of ofﬁces/datacentres (22%).",Carbon negative by 2030,,,,,Pledge 'to remove by 2050 all the carbon the company has emitted either directly or by electrical consumption since it was founded in 1975'.,No clear plans to reduce emissions beyond 2030. We interpret the target as a commitment to offset historical s1 and s2 emissions since 1975.,,,,,,,,,,Mainly nature-based solutions (99%) with a 'contracted durability' of No climate contributions identiﬁed.,Microsoft pledges to become carbon negative by 2030 and maintain its existing claim of carbon neutrality each year until 2030.,"Commitment to reduce market-based emissions by 50% by 2030, which translates to a 38% reduction of location-based emissions.","Measures for most emission sources, but implementation scale unclear. Flagship projects test innovative new abatement technologies.",100% RE in 2021 through unbundled RECs and PPAs. Target of 100% local RE with 24/7 matching by 2030.
2023,Poor,Poor,Moderate,Very Poor,Very Poor,Poor,Poor,Very Poor,Very Poor,Nestlé,USD 95.2 bn (2021),118.7 MtCO2e (2021),Net zero by 2050,Major emission sources: Main emissions are from agricultural activities and other purchased goods and services (72%).,Net zero by 2050,,,,,Net zero by 2050,Undeﬁned role of 'insetting' measures to claim that emissions are offset; no assessment possible.,,,,,,,,,,Offsetting claims under the term 'insetting'. 9.7 MtCO2e No climate contributions identiﬁed.,"By 2025, reduce emissions by 20%. By 2030, reduce emissions by 50%.","Targets equate to 16-21% reduction of full emissions footprint in 2019, excluding 'insetting' measures to claim that emissions have been offset.","Reduction measures presented with limited detail and compared to BAU. Major emission sources are addressed, but no clear signs of transformation in agricultural activities.","Renewable electricity procurement constructs account for over 60% of consumption, mostly through PPAs. Disclosure of information only in CDP responses."
2023,Poor,Poor,Reasonable,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor,PepsiCo,USD 79.5 bn (2021),63.8 MtCO2e (2021),Net-zero emissions across value chain by 2040,"Major emission sources: Major emissions sources are agricultural practices (33%), packaging (26%) and up- and downstream transportation and distribution (20%).",Net-zero emissions across value chain by 2040,,,,,Net-zero emissions across value chain by 2040,PepsiCo does not specify the share of emissions that it will reduce under its net-zero target.,,,,,,,,,,Carbon price for business travel. Invested in regenerative agriculture No climate contributions identiﬁed.,By 2030: s1 and s2 emissions -75% & s3 emissions -40% (2015 baseline). Includes unspeciﬁed role for oﬀsetting under the term 'insetting'.,"Targets translate to 48% emission reductions, but includes offsets claimed through 'insetting'. Emission reductions will be lower in reality; unclear by how much.","Various measures described, but their collective role in the strategy remains unclear. No clear signs of transformation in agricultural activities for deep emission reductions.",Overview of energy procurement in public CDP disclosure and summary on webpage. 72% of energy consumption is from RE sources; large share of RE based on unbundled RECs.
2023,Poor,Very Poor,Poor,Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor,Samsung Electronics,USD 244.4 bn (2021),143.4 MtCO2e (2021),Net-zero carbon emissions by 2050,"Major emission sources: Product use (70%, s3) and energy consumption (9%, s2). Disclosure: S1 and s2 emissions are reported in public",Net-zero carbon emissions by 2050,,,,,Net-zero direct and indirect carbon emissions by 2050 across all global operations,"Commitment to reduce ~17 MtCO2e by 2050 (i.e., 100% reduction of s1 and market-based s2 in 2021). Scope 3 is not included.",,,,,,,,,,Unspeciﬁed use of 'emission permits' from CDM projects in Kenya No climate contributions identiﬁed.,Net-zero carbon emissions (s1 & s2) for all operations in the DX Division by 2030.,The target covers s1 and s2 of the DX division and excludes all other emissions.,"Measures target most emission sources but are described superﬁcially and often set to be implemented by 2030 or beyond, with limited clarity on short-term action.","RE accounts for 20% of electricity use, sourced through PPAs, on-site installations, and RECs. 100% RE in the US and China, with 100% goal in all markets except Korea by 2027."
2023,Moderate,Moderate,Very Poor,High,Moderate,Moderate,Moderate,Moderate,Very Poor,Stellantis,USD 176.6 bn (2021),138.5 MtCO2e (2021),Carbon net zero by 2038,"Major emission sources: Use phase of sold vehicles (85% in 2021, downstream s3), purchased goods and services (11% in 2021, upstream s3).",Carbon net zero by 2038,,,,,Carbon net zero by 2038 by 2030,"All emission scopes covered. Deep emission reductions comittment of at least 90% by 2038, compared to 2021. 1.5°C-aligned ICE phaseout date for EU.",,,,,,,,,with uncertain climate impact. Biodiversity and reforestation projects in Brazil.,Details regarding the volume of ﬁnance not identiﬁed. Claims of ‘carbon neutral’ operations in South American,"50% absolute reduction by 2030 across s1, s2, and s3 (below 2021) supported by: - s1 & s2: 50% absolute reduction by 2025 and 75% by 2030, - s3: 50% intensity reduction by 2030,","Overarching 2030 target to reduce full value chain emissions by 50%, compared to 2021. 1.5°C-aligned ICE phaseout date for EU. BEVs in Europe and 50% BEVs in US by 2030, parts: 40% intensity reduction by 2030.","Relevant measures for accelerated transition to electric mobility, but unclear whether measures are sufﬁcient to align with a 1.5°C-aligned decarbonisation pathway.","RE accounts for <20% of electricity consumption, mainly from RECs alongside some on-site installations and PPAs."
2023,Unknown,Unknown,Poor,Moderate,Moderate,Moderate,Moderate,Poor,Poor,Thyssenkrupp,USD 40.2 bn (2021),60.5 MtCO2e (2021),Climate neutral by 2050,Major emission sources: S1 emissions from with steelmaking represent around 38% of the disclosed emission footprint. Most s3 emissions are fromwith purchased goods and services.,Climate neutral by 2050,,,,,To reduce s1&2 by at least 90% below 2018 level and s3 by at least 90% below 2017 levels by 2050,Potentially signiﬁcant omission in target scope. Supporting measures indicate alignment with some 1.5°C aligned sectoral benchmarks,,,,,,,,,,Offsets are being procured to claim carbon neutrality No climate contributions identiﬁed.,- To reduce s1&2 emissions by 30% below 2018 levels by 2030 - To reduce s3 emissions by 16% below 2017 levels by 2030,Target equals a 12% reduction across the value chain. Supporting measures indicate alignment with some 1.5°C-aligned sectoral benchmarks.,"Plans to phase-out its carbon intensive assets for steel production and to reduce scope 3 emissions, but emission reduction plans are unclear for other divisions.",Very limited information on renewable energy procurement.
2023,Moderate,Poor,Moderate,Poor,Very Poor,Moderate,Moderate,Poor,Very Poor,Volkswagen Group,USD 295.7 bn (2021),371.3 MtCO2e (2021),Carbon neutral by 2050,"Major emission sources: Use phase of sold vehicles (downstream s3, 75%); purchased goods and services (upstream s3, 16%)",Carbon neutral by 2050,,,,,Carbon neutral by 2050 by 2030,All emission scopes covered. No emission reduction commitment alongside carbon neutrality pledge. No 1.5°C-aligned phaseout dates for ICEs.,,,,,,,,,,6.1 MtCO2e offset credits purchased in 2021. No complete information No climate contributions identiﬁed.,"s1&s2 - 50% absolute reduction by 2030 (below 2018, no oﬀsets) s3 - vehicle life-cycle emissions intensity","No 1.5°C-aligned phaseout dates for ICEs. Target for s1 & s2 equals a 3% reduction across the value chain, S3 intensity target not quantiﬁable. by 2025 (below 2015, allowing oﬀsets) by 2030 (below 2018, no oﬀsets)","Relevant measures for key emission sources, including investments in vehicle electriﬁcation and low-carbon steel production. Limited details on timeline and expected impact.",Extensive use of lower-quality RECs to claim 96% of renewable electricty procured in Europe in 2021. Plans to use more PPAs in the future but limited information provided.
2023,Moderate,Poor,Poor,High,Very Poor,Moderate,Poor,Poor,Poor,Walmart,USD 572.8 bn (2021),187.7 MtCO2e (2021),Zero emissions in operations by 2040,"Major emission sources: Major emission sources are related to purchased goods and services (upstream s3, 71%).",Zero emissions in operations by 2040,,,,,Zero emissions in operations by 2040,"Long-term target translates to 9% emission reductions, compared to 2019 value chain emissions. This is not in line with 1.5°C-benchmarks.",,,,,,,,,,"Commits to protect/restore 50 million acres of land by 2030, without neutralisation claim. Very limited detail provided. No oﬀsetting claims today identiﬁed.","Reduce s1&2 emissions by 35% by 2025 and 65% by 2030, compared to 2015 levels",Short- to medium-term targets translate to 5% emission reductions compared to 2019 value chain emissions: not in line with 1.5°C-benchmarks.,"Signiﬁcant portion of upstream s3 emissions addressed through supplier engagement programme. Measures to reduce s1&2 emissions presented, but only in vague terms.","Aims for higher-quality RE constructs to reach 100% RE by 2035, but RE share remains low."
